CK,Tran,San,TC,Giamua3,KLmua3,Giamua2,KLmua2,Giamua1,KLmua1,Giakhop,Khoiluongkhoplenh,Thaydoi,Phantramthaydoi,Giaban1,KLban1,Giaban2,KLban2,Giaban3,KLban3,TongKL,Caonhat,Thapnhat,DTNNmua,DTNNban,DTNNdu
AAA,17.6,15.3,16.45,16.95,"70,200",17,"193,600",17.05,"52,200",17.05,200,0.60,3.6%,17.1,"104,300",17.15,"31,700",17.2,"115,300","13,579,700",17.45,16.45,"94,600","444,200","286,156,548"
AAM,11.25,9.82,10.55,10.45,200,10.5,"15,000",10.55,"1,200",10.85,100,0.30,2.8%,10.8,200,10.85,600,10.9,"1,200",300,10.95,10.85,,,"5,939,473"
AAT,20.1,17.5,18.8,18.4,700,18.45,"30,300",18.5,"43,600",18.5,"25,800",-0.30,-1.6%,18.7,"3,700",18.8,"17,700",18.85,"17,700","611,100",19,18.5,,,"17,043,800"
ABS,24.15,21.05,22.6,22.4,"3,500",22.5,"2,200",22.6,"5,600",22.65,"13,400",0.05,0.2%,22.65,"8,900",22.7,"3,700",22.75,"3,500","449,400",22.9,22.3,,,
ACB,38.5,33.5,36,35.45,"31,900",35.5,"631,600",35.55,"64,700",35.55,"364,100",-0.45,-1.3%,35.6,"131,800",35.65,"36,100",35.7,"89,400","8,620,800",36.15,35.45,,,75
ACC,15.8,13.8,14.8,14.6,"1,600",14.7,"1,000",14.8,"1,800",14.8,"1,000",0.00,0.0%,14.9,700,14.95,900,15,"2,800","29,200",15,14.6,"1,300",,"11,087,273"
ACL,12.4,10.8,11.6,11.45,300,11.5,"15,400",11.55,400,11.6,900,0.00,0.0%,11.6,100,11.65,"7,500",11.7,"1,500","82,300",11.75,11.6,"6,500",,"18,189,215"
ADG,46.75,40.65,43.7,43.6,"4,900",43.65,"5,800",43.7,"6,600",43.8,800,0.10,0.2%,43.8,"3,400",43.9,"3,500",44,"4,500","77,300",43.8,43.5,"1,100",,"4,159,871"
ADS,32.15,27.95,30.05,29.6,"29,200",29.65,"1,800",29.7,"10,200",29.7,"42,100",-0.35,-1.2%,29.8,"11,700",29.9,"3,300",29.95,200,"349,700",30.1,29.55,"9,800","2,500","13,587,818"
AGG,56.3,49.05,52.7,51.9,"14,700",52,"141,600",52.1,"12,800",52.1,"127,900",-0.60,-1.1%,52.4,"20,000",52.5,"1,000",52.7,"10,800","2,081,700",54,51.8,"1,200","150,700","29,357,952"
AGM,32.3,28.1,30.2,30,"1,600",30.2,"3,400",30.3,600,30.3,"5,000",0.10,0.3%,31.9,"5,100",32,"2,100",32.3,"4,200","36,700",31.9,30.3,,,"7,767,330"
AGR,15.4,13.4,14.4,13.95,"6,200",14,"233,400",14.05,"56,900",14.05,"96,600",-0.35,-2.4%,14.1,"34,700",14.15,"48,800",14.2,"237,100","2,625,800",14.45,14.05,"1,400",,"103,112,021"
AMD,5.13,4.47,4.8,4.49,"16,800",4.5,"347,000",4.51,"129,300",4.51,"592,600",-0.29,-6.0%,4.55,100,4.56,"45,000",4.57,100,"5,954,100",4.76,4.51,"17,400","250,000","77,212,193"
ANV,31.25,27.25,29.25,28.7,400,28.75,600,28.8,"2,400",28.8,"72,300",-0.45,-1.5%,29,"5,500",29.2,"11,100",29.25,"8,100","823,000",29.9,28.8,"5,200","92,500","60,767,315"
APC,21.95,19.15,20.55,20.5,"3,800",20.55,600,20.6,400,20.7,"2,000",0.15,0.7%,20.9,600,21,"1,200",21.2,200,"12,900",20.9,20.55,,,"6,761,144"
APG,10.6,9.25,9.94,10.15,"108,500",10.2,"54,800",10.25,"3,900",10.3,"17,900",0.36,3.6%,10.3,"19,800",10.35,"18,500",10.4,"113,800","2,696,900",10.5,9.95,"20,700","54,500","33,524,750"
APH,48.15,41.85,45,46.7,"15,400",46.8,"14,300",46.85,500,46.9,"8,300",1.90,4.2%,46.9,"4,600",46.95,"2,500",47,"10,100","2,083,700",47,44.75,"10,100",500,"127,549,694"
ASM,14.3,12.5,13.4,13.15,"9,300",13.2,"67,800",13.25,"62,800",13.3,"74,600",-0.10,-0.7%,13.3,"10,300",13.35,"49,300",13.4,"46,200","2,173,300",13.5,13.25,,,"124,164,191"
ASP,7.45,6.49,6.97,7,"6,500",7.01,"2,200",7.02,800,7.05,200,0.08,1.1%,7.05,"1,400",7.06,"1,100",7.09,"3,000","69,400",7.06,6.92,,,66
AST,53.2,46.35,49.8,49.5,"2,500",49.65,200,49.7,200,49.85,100,0.05,0.1%,49.85,200,49.9,200,50,"6,100","19,700",50,49.5,"2,200","3,300","2,859,378"
BCE,11.35,9.91,10.65,10.7,"5,200",10.75,"7,500",10.8,"12,800",10.8,"8,000",0.15,1.4%,10.85,200,10.9,"3,800",10.95,"1,700","190,800",11.1,10.5,"5,400",,"16,478,186"
BCG,15.05,13.15,14.1,13.8,"34,900",13.85,"16,800",13.9,"98,900",13.95,"87,100",-0.15,-1.1%,13.95,"4,400",14,"30,100",14.05,"21,300","4,425,400",14.7,13.9,"36,100","41,000","63,209,330"
BCM,44.7,38.9,41.8,44.6,"1,100",44.65,100,44.7,"8,100",44.7,"9,600",2.90,6.9%,,,,,,,"205,800",44.7,41,300,,"486,256,640"
BFC,35.75,31.15,33.45,35.3,"55,100",35.35,"94,100",35.4,"240,300",35.5,"35,600",2.05,6.1%,35.5,600,35.6,"6,800",35.7,"30,500","1,035,200",35.6,33.6,"7,400",100,"25,859,476"
BHN,57.7,50.3,54,53.5,100,54,"3,400",54.1,700,54.4,100,0.40,0.7%,54.4,300,54.5,"1,500",55,"1,100","4,200",54.4,52.8,,,"73,184,170"
BIC,25.85,22.55,24.2,23.65,"45,300",23.7,"8,000",23.75,"3,000",23.8,500,-0.40,-1.7%,23.8,"8,600",23.9,100,23.95,200,"206,600",24.4,23.4,"106,300","31,900","2,954,061"
BID,45.95,39.95,42.95,42.7,"2,500",42.75,"1,100",42.8,"1,200",42.9,"155,200",-0.05,-0.1%,42.9,"9,200",42.95,"18,200",43,"81,300","1,868,300",43.4,42.6,"111,000","230,400","533,894,446"
BKG,11.65,10.15,10.9,10.7,"6,500",10.75,"13,700",10.8,"4,300",10.8,"12,200",-0.10,-0.9%,10.9,"4,300",10.95,"5,100",11,"29,000","192,400",11,10.75,,,"15,619,600"
BMC,15.4,13.4,14.4,14.4,"24,300",14.45,"5,600",14.5,100,14.5,"6,000",0.10,0.7%,14.55,"3,000",14.6,"5,100",14.7,500,"66,900",14.8,14.45,"6,500","1,900","4,830,862"
BMI,44.7,38.9,41.8,40.2,"28,900",40.25,"4,100",40.3,700,40.3,"152,300",-1.50,-3.6%,40.35,300,40.4,"2,200",40.45,"1,600","1,281,800",41.8,40.2,"73,100","53,900","15,318,929"
BMP,60.7,52.9,56.8,56.5,"3,200",56.6,600,56.7,400,56.8,100,0.00,0.0%,56.8,"8,700",57,500,57.2,200,"40,100",56.8,56.6,"24,600",,"13,400,703"
BRC,13.65,11.95,12.8,12.6,500,12.7,100,12.8,400,12.8,500,0.00,0.0%,12.9,300,12.95,"3,200",13,"5,200","3,800",12.95,12.8,,,"6,000,328"
BTP,17.1,14.9,16,15.4,200,15.6,"2,000",15.65,"4,100",15.9,300,-0.10,-0.6%,15.9,"1,200",15.95,"3,900",16,"1,000",800,15.95,15.9,,,"23,777,924"
BTT,56.7,49.3,53,49.3,"1,200",50,"2,000",50.5,"2,500",,,,,53,400,,,,,,,,,,"5,985,557"
BVH,57.3,49.85,53.6,53.5,"10,100",53.6,"1,000",53.7,100,53.8,"22,300",0.20,0.4%,53.8,"1,800",53.9,"4,200",54,"40,200","1,125,800",54,52.7,"350,500","18,600","164,072,390"
BWE,42.15,36.65,39.4,38.15,200,38.2,"14,500",38.25,"3,000",38.25,"62,300",-1.15,-2.9%,38.5,100,38.6,"4,300",38.7,"10,000","611,400",39.6,38.25,"4,700","21,300","61,244,860"
C32,25.1,21.9,23.5,23.4,200,23.45,"2,100",23.5,300,23.55,100,0.05,0.2%,23.55,"1,900",23.65,"5,100",23.7,"15,600","65,500",23.65,23.35,200,,"5,753,782"
C47,11.75,10.25,11,10.8,"20,800",10.85,"21,300",10.9,"2,000",10.9,"2,000",-0.10,-0.9%,11,"27,200",11.05,"19,000",11.1,"16,400","138,500",11.1,10.85,200,"2,400","9,143,529"
CCI,19.75,17.25,18.5,17.9,100,18,"2,600",18.1,100,18,700,-0.50,-2.7%,18.5,"1,000",19,"1,100",19.5,"3,100","6,000",19.2,18,,,
CCL,13.2,11.5,12.35,12.2,"26,500",12.25,"15,400",12.3,"30,900",12.35,"34,300",0.00,0.0%,12.35,"35,200",12.4,"24,300",12.45,"1,000","547,800",12.8,12.25,"14,400",300,"22,668,407"
CDC,14.55,12.65,13.6,13.3,200,13.4,300,13.45,500,13.5,300,-0.10,-0.7%,13.5,"2,700",13.6,400,13.85,600,"2,300",13.5,13.2,,,"10,681,549"
CEE,13.3,11.6,12.45,12,500,12.05,100,12.45,200,12.8,100,0.35,2.8%,12.8,500,12.9,"2,700",13,"1,600","1,500",12.9,12.8,,,"20,332,650"
CFPT2102,9.55,6.87,8.21,,,,,,,6.87,200,-1.34,-16.3%,6.87,"23,400",7,700,7.6,500,"182,100",8.19,6.87,"2,500",,"998,000"
CFPT2103,5.75,3.07,4.41,3.65,"18,300",3.66,100,3.69,"7,000",3.69,"22,700",-0.72,-16.3%,3.88,"75,400",3.9,"1,000",3.96,"1,000","2,188,900",5.75,3.18,"4,000",,"5,000,000"
