Date,VNI_Close,Change,Volume,Transaction_value,a,b,c,d
26/12/2022,"1003,89","-16,45(-1,61%)",409.581.407,"6.338,94 tỷ",25.344.087,"701,56 tỷ",18.308.772,"477,06 tỷ"
23/12/2022,"1020,34","-2,27(-0,22%)",544.113.372,"9.098,40 tỷ",45.248.544,"1.078,88 tỷ",35.110.478,"843,42 tỷ"
22/12/2022,"1022,61","+3,73(+0,37%)",714.220.518,"12.898,33 tỷ",44.490.934,"1.081,63 tỷ",133.428.948,"3.569,96 tỷ"
21/12/2022,"1018,88","-4,25(-0,42%)",857.326.761,"14.414,22 tỷ",96.693.447,"2.350,07 tỷ",34.776.012,"691,68 tỷ"
20/12/2022,"1023,13","-15,27(-1,47%)",1.075.424.369,"17.465,85 tỷ",110.623.413,"2.641,09 tỷ",37.800.544,"778,49 tỷ"
19/12/2022,"1038,40","-14,08(-1,34%)",988.837.463,"16.042,49 tỷ",74.334.687,"1.455,17 tỷ",66.877.064,"1.349,61 tỷ"
16/12/2022,"1052,48","-2,84(-0,27%)",881.530.875,"15.508,70 tỷ",111.244.864,"2.586,73 tỷ",91.696.521,"2.311,38 tỷ"
15/12/2022,"1055,32","+4,89(+0,47%)",731.119.454,"12.335,10 tỷ",53.983.069,"1.135,18 tỷ",33.859.722,"816,12 tỷ"
14/12/2022,"1050,43","+2,98(+0,28%)",792.044.133,"13.730,46 tỷ",59.537.294,"1.575,79 tỷ",60.785.778,"1.547,98 tỷ"
13/12/2022,"1047,45","+15,38(+1,49%)",798.742.525,"13.237,61 tỷ",98.165.666,"2.455,24 tỷ",55.122.948,"1.557,95 tỷ"
12/12/2022,"1032,07","-19,74(-1,88%)",909.565.473,"16.400,92 tỷ",56.924.222,"1.651,49 tỷ",47.850.206,"1.316,92 tỷ"
09/12/2022,"1051,81","+1,28(+0,12%)",788.203.123,"12.948,33 tỷ",59.875.143,"1.502,64 tỷ",41.352.447,"1.052,66 tỷ"
08/12/2022,"1050,53","+9,51(+0,91%)",916.987.609,"15.450,76 tỷ",60.156.403,"1.650,04 tỷ",40.355.517,"1.069,75 tỷ"
07/12/2022,"1041,02","-7,67(-0,73%)",920.936.041,"14.043,73 tỷ",72.423.496,"1.881,67 tỷ",44.122.625,"880,30 tỷ"
06/12/2022,"1048,69","-44,98(-4,11%)",1.481.855.770,"23.533,06 tỷ",91.880.259,"2.220,98 tỷ",68.023.222,"1.438,83 tỷ"
05/12/2022,"1093,67","+13,66(+1,26%)",1.257.541.076,"20.974,49 tỷ",98.229.193,"2.478,16 tỷ",62.324.448,"1.099,75 tỷ"
02/12/2022,"1080,01","+43,73(+4,22%)",1.092.310.560,"17.924,06 tỷ",119.900.407,"3.184,47 tỷ",45.786.876,"1.006,09 tỷ"
01/12/2022,"1036,28","-12,14(-1,16%)",1.344.535.800,"21.830,66 tỷ",106.458.912,"2.659,13 tỷ",75.988.731,"1.634,11 tỷ"
30/11/2022,"1048,42","+16,26(+1,58%)",1.143.350.102,"17.764,14 tỷ",123.357.350,"2.987,35 tỷ",87.050.972,"1.331,71 tỷ"
29/11/2022,"1032,16","+26,47(+2,63%)",1.184.149.764,"18.252,06 tỷ",156.870.991,"3.656,44 tỷ",50.287.538,"1.018,87 tỷ"
28/11/2022,"1005,69","+34,23(+3,52%)",973.787.852,"15.943,77 tỷ",106.811.590,"2.736,70 tỷ",40.200.208,"1.051,43 tỷ"
25/11/2022,"971,46","+23,75(+2,51%)",622.497.264,"9.716,10 tỷ",67.899.668,"1.883,91 tỷ",28.915.631,"921,41 tỷ"
24/11/2022,"947,71","+1,71(+0,18%)",543.143.603,"8.358,28 tỷ",64.863.295,"1.632,38 tỷ",51.594.499,"1.342,17 tỷ"
23/11/2022,"946,00","-6,12(-0,64%)",542.121.766,"7.858,76 tỷ",48.890.388,"1.111,65 tỷ",51.511.423,"1.053,33 tỷ"
22/11/2022,"952,12","-8,53(-0,89%)",1.050.028.405,"16.672,05 tỷ",73.441.251,"1.625,95 tỷ",69.477.709,"1.364,45 tỷ"
21/11/2022,"960,65","-8,68(-0,90%)",597.720.759,"8.784,91 tỷ",52.845.280,"1.107,20 tỷ",50.604.604,"1.066,94 tỷ"
18/11/2022,"969,33","+0,07(+0,01%)",960.582.090,"13.702,92 tỷ",117.963.761,"2.193,96 tỷ",120.649.819,"2.219,05 tỷ"
17/11/2022,"969,26","+26,36(+2,80%)",724.460.987,"11.416,83 tỷ",142.870.324,"2.910,27 tỷ",73.292.137,"1.402,30 tỷ"
16/11/2022,"942,90","+31,00(+3,40%)",1.046.754.131,"14.373,27 tỷ",110.923.411,"2.260,16 tỷ",66.901.465,"1.602,44 tỷ"
15/11/2022,"911,90","-29,14(-3,10%)",692.336.869,"9.797,20 tỷ",142.257.916,"2.864,98 tỷ",69.742.951,"1.675,88 tỷ"
14/11/2022,"941,04","-13,49(-1,41%)",666.060.408,"9.448,94 tỷ",150.904.568,"2.699,05 tỷ",45.673.145,"997,50 tỷ"
11/11/2022,"954,53","+7,29(+0,77%)",736.493.658,"10.992,01 tỷ",174.365.989,"3.288,47 tỷ",37.541.972,"802,99 tỷ"
10/11/2022,"947,24","-38,35(-3,89%)",698.764.030,"10.831,89 tỷ",71.907.035,"1.729,53 tỷ",80.527.757,"1.715,26 tỷ"
09/11/2022,"985,59","+3,94(+0,40%)",583.059.080,"10.393,69 tỷ",74.692.762,"1.678,78 tỷ",53.309.200,"1.113,16 tỷ"
08/11/2022,"981,65","+6,46(+0,66%)",660.722.948,"10.373,75 tỷ",88.673.963,"1.849,01 tỷ",62.809.894,"1.312,91 tỷ"
07/11/2022,"975,19","-21,96(-2,20%)",646.845.431,"10.555,45 tỷ",80.182.599,"1.796,25 tỷ",59.116.761,"1.274,38 tỷ"
04/11/2022,"997,15","-22,66(-2,22%)",753.114.300,"12.909,68 tỷ",55.667.220,"1.480,92 tỷ",64.884.688,"1.490,50 tỷ"
03/11/2022,"1019,81","-3,38(-0,33%)",442.888.391,"7.870,87 tỷ",28.027.199,"750,55 tỷ",25.147.260,"498,85 tỷ"
02/11/2022,"1023,19","-10,56(-1,02%)",578.232.400,"10.096,46 tỷ",38.450.502,"875,71 tỷ",54.543.849,"1.124,37 tỷ"
01/11/2022,"1033,75","+5,81(+0,57%)",613.979.713,"10.738,71 tỷ",35.396.708,"804,82 tỷ",81.772.991,"1.566,72 tỷ"
31/10/2022,"1027,94","+0,58(+0,06%)",662.040.843,"11.420,70 tỷ",60.599.044,"1.309,29 tỷ",53.918.745,"1.080,55 tỷ"
28/10/2022,"1027,36","-0,65(-0,06%)",654.695.656,"13.345,01 tỷ",42.866.640,"1.146,90 tỷ",128.975.644,"4.558,59 tỷ"
27/10/2022,"1028,01","+34,65(+3,49%)",647.723.295,"11.121,74 tỷ",53.417.642,"1.129,15 tỷ",60.173.419,"1.297,66 tỷ"
26/10/2022,"993,36","-4,34(-0,44%)",448.275.048,"8.048,50 tỷ",30.412.187,"626,90 tỷ",34.587.484,"683,61 tỷ"
25/10/2022,"997,70","+11,55(+1,17%)",751.178.249,"12.607,57 tỷ",61.596.171,"1.267,58 tỷ",73.300.947,"1.352,72 tỷ"
24/10/2022,"986,15","-33,67(-3,30%)",654.944.880,"12.072,32 tỷ",46.982.264,"1.216,29 tỷ",46.960.526,"1.142,95 tỷ"
21/10/2022,"1019,82","-38,63(-3,65%)",742.095.685,"14.616,03 tỷ",47.414.310,"1.383,14 tỷ",84.009.378,"1.822,11 tỷ"
20/10/2022,"1058,45","-1,62(-0,15%)",398.325.488,"8.392,16 tỷ",38.524.976,"1.065,31 tỷ",38.770.633,"880,52 tỷ"
19/10/2022,"1060,07","-3,59(-0,34%)",400.659.500,"8.274,08 tỷ",37.538.889,"998,18 tỷ",47.994.757,"1.078,76 tỷ"
18/10/2022,"1063,66","+12,08(+1,15%)",514.837.794,"10.165,76 tỷ",44.647.541,"1.244,31 tỷ",51.491.700,"1.272,72 tỷ"
17/10/2022,"1051,58","-10,27(-0,97%)",497.417.202,"9.549,84 tỷ",35.589.808,"876,80 tỷ",36.549.389,"641,51 tỷ"
14/10/2022,"1061,85","+10,86(+1,03%)",641.479.597,"14.484,28 tỷ",55.333.194,"1.259,66 tỷ",44.421.950,"1.043,42 tỷ"
13/10/2022,"1050,99","+16,18(+1,56%)",477.333.502,"8.900,71 tỷ",58.238.955,"1.276,65 tỷ",39.968.485,"824,50 tỷ"
12/10/2022,"1034,81","+28,61(+2,84%)",616.141.224,"11.472,24 tỷ",84.261.256,"1.971,86 tỷ",33.579.208,"735,51 tỷ"
11/10/2022,"1006,20","-36,28(-3,48%)",672.102.624,"12.874,32 tỷ",44.861.174,"1.356,07 tỷ",49.657.069,"1.197,18 tỷ"
10/10/2022,"1042,48","+6,57(+0,63%)",692.982.328,"15.055,41 tỷ",55.208.109,"1.458,13 tỷ",38.250.250,"879,27 tỷ"
07/10/2022,"1035,91","-38,61(-3,59%)",877.310.089,"16.976,70 tỷ",88.631.794,"2.433,23 tỷ",85.644.964,"2.174,21 tỷ"
06/10/2022,"1074,52","-29,74(-2,69%)",545.816.556,"11.115,52 tỷ",34.088.085,"871,95 tỷ",43.064.798,"1.005,56 tỷ"
05/10/2022,"1104,26","+26,12(+2,42%)",451.939.674,"9.414,92 tỷ",47.321.975,"1.239,35 tỷ",40.416.962,"1.013,18 tỷ"
04/10/2022,"1078,14","-8,30(-0,76%)",582.818.537,"12.048,38 tỷ",45.096.603,"1.189,91 tỷ",67.871.237,"1.661,22 tỷ"
03/10/2022,"1086,44","-45,67(-4,03%)",554.153.554,"11.525,46 tỷ",30.680.831,"942,33 tỷ",53.372.750,"1.475,49 tỷ"
30/09/2022,"1132,11","+6,04(+0,54%)",729.667.043,"17.135,77 tỷ",70.537.924,"1.949,83 tỷ",59.396.362,"1.766,90 tỷ"
29/09/2022,"1126,07","-17,55(-1,53%)",491.470.716,"11.232,78 tỷ",28.538.834,"724,55 tỷ",34.020.007,"886,15 tỷ"
28/09/2022,"1143,62","-22,92(-1,96%)",527.698.880,"11.783,86 tỷ",23.963.927,"769,62 tỷ",23.564.932,"774,41 tỷ"
27/09/2022,"1166,54","-7,81(-0,67%)",466.621.460,"10.617,58 tỷ",27.997.444,"726,01 tỷ",38.573.199,"1.113,76 tỷ"
26/09/2022,"1174,35","-28,93(-2,40%)",757.086.377,"17.552,32 tỷ",40.658.030,"1.115,30 tỷ",60.141.540,"1.671,89 tỷ"
23/09/2022,"1203,28","-11,42(-0,94%)",485.376.696,"11.293,00 tỷ",31.053.637,"819,51 tỷ",40.000.197,"1.148,16 tỷ"
22/09/2022,"1214,70","+4,15(+0,34%)",473.554.639,"11.666,71 tỷ",27.651.137,"775,39 tỷ",39.223.998,"1.250,25 tỷ"
21/09/2022,"1210,55","-8,38(-0,69%)",391.712.127,"9.774,04 tỷ",21.958.314,"676,96 tỷ",28.743.471,"799,43 tỷ"
20/09/2022,"1218,93","+13,50(+1,12%)",473.888.795,"11.157,30 tỷ",37.145.315,"1.147,00 tỷ",26.037.388,"722,21 tỷ"
19/09/2022,"1205,43","-28,60(-2,32%)",701.958.194,"16.706,04 tỷ",37.639.394,"839,03 tỷ",29.861.512,"690,67 tỷ"
16/09/2022,"1234,03","-11,63(-0,93%)",632.370.935,"15.510,08 tỷ",63.226.330,"2.138,83 tỷ",90.224.835,"2.561,44 tỷ"
15/09/2022,"1245,66","+4,89(+0,39%)",429.835.817,"11.293,96 tỷ",28.713.059,"839,31 tỷ",36.259.234,"1.172,23 tỷ"
14/09/2022,"1240,77","-7,63(-0,61%)",607.855.867,"14.351,72 tỷ",35.208.543,"839,61 tỷ",33.017.321,"894,27 tỷ"
13/09/2022,"1248,40","-1,22(-0,10%)",473.969.102,"12.748,75 tỷ",33.616.495,"943,61 tỷ",41.635.095,"1.208,89 tỷ"
12/09/2022,"1249,62","+0,84(+0,07%)",410.185.286,"10.747,94 tỷ",30.487.054,"798,40 tỷ",19.447.000,"619,48 tỷ"
09/09/2022,"1248,78","+14,18(+1,15%)",586.025.787,"13.799,63 tỷ",21.768.600,"721,39 tỷ",17.458.100,"543,30 tỷ"
08/09/2022,"1234,60","-8,57(-0,69%)",599.611.824,"14.415,31 tỷ",26.430.600,"719,11 tỷ",26.262.300,"645,05 tỷ"
07/09/2022,"1243,17","-34,23(-2,68%)",852.271.781,"20.331,77 tỷ",27.952.200,"622,50 tỷ",40.459.400,"1.070,65 tỷ"
06/09/2022,"1277,40","+0,05(+0,00%)",581.454.959,"14.560,91 tỷ",20.125.900,"585,36 tỷ",29.038.200,"855,48 tỷ"
05/09/2022,"1277,35","-3,16(-0,25%)",524.682.900,"13.402,03 tỷ",24.832.300,"732,25 tỷ",32.821.600,"1.150,18 tỷ"
31/08/2022,"1280,51","+1,12(+0,09%)",499.312.581,"12.702,23 tỷ",27.174.500,"760,60 tỷ",30.485.100,"942,90 tỷ"
30/08/2022,"1279,39","+8,59(+0,68%)",526.096.366,"13.835,94 tỷ",20.778.900,"659,46 tỷ",22.859.784,"672,99 tỷ"
29/08/2022,"1270,80","-11,77(-0,92%)",845.897.224,"20.562,32 tỷ",20.717.900,"664,99 tỷ",39.896.700,"1.038,21 tỷ"
26/08/2022,"1282,57","-6,31(-0,49%)",668.955.634,"16.075,28 tỷ",25.458.800,"604,07 tỷ",29.779.600,"664,57 tỷ"
25/08/2022,"1288,88","+11,72(+0,92%)",623.966.064,"15.482,26 tỷ",31.010.296,"751,49 tỷ",27.591.896,"660,97 tỷ"
24/08/2022,"1277,16","+6,35(+0,50%)",601.884.844,"15.195,58 tỷ",25.865.400,"803,39 tỷ",27.465.600,"963,55 tỷ"
23/08/2022,"1270,81","+10,38(+0,82%)",564.723.969,"14.056,77 tỷ",31.217.100,"837,42 tỷ",31.327.410,"909,67 tỷ"
22/08/2022,"1260,43","-8,75(-0,69%)",619.447.855,"14.839,12 tỷ",17.664.495,"500,68 tỷ",34.319.395,"729,54 tỷ"
19/08/2022,"1269,18","-4,48(-0,35%)",607.623.179,"14.920,48 tỷ",30.602.700,"960,88 tỷ",39.058.700,"1.063,55 tỷ"
18/08/2022,"1273,66","-1,62(-0,13%)",599.082.777,"15.351,54 tỷ",37.718.500,"1.200,33 tỷ",31.137.529,"1.079,77 tỷ"
17/08/2022,"1275,28","+0,59(+0,05%)",712.253.187,"17.674,35 tỷ",35.607.820,"892,02 tỷ",36.024.620,"938,77 tỷ"
16/08/2022,"1274,69","+0,49(+0,04%)",617.719.573,"14.945,38 tỷ",53.611.578,"1.389,53 tỷ",29.593.634,"859,10 tỷ"
15/08/2022,"1274,20","+11,87(+0,94%)",634.199.273,"15.508,55 tỷ",31.001.500,"1.139,55 tỷ",24.746.873,"1.074,36 tỷ"
12/08/2022,"1262,33","+10,26(+0,82%)",542.036.380,"13.057,09 tỷ",33.323.000,"895,58 tỷ",29.215.700,"757,47 tỷ"
11/08/2022,"1252,07","-4,43(-0,35%)",810.553.640,"18.777,03 tỷ",44.085.000,"1.180,16 tỷ",43.264.840,"1.105,73 tỷ"
10/08/2022,"1256,50","-2,35(-0,19%)",651.757.132,"14.392,75 tỷ",24.173.700,"626,29 tỷ",22.511.500,"576,24 tỷ"
09/08/2022,"1258,85","+2,10(+0,17%)",721.636.388,"15.968,16 tỷ",31.287.800,"733,10 tỷ",29.476.200,"802,08 tỷ"
08/08/2022,"1256,75","+4,01(+0,32%)",699.342.402,"15.799,94 tỷ",33.778.500,"836,39 tỷ",34.463.600,"936,13 tỷ"
05/08/2022,"1252,74","-1,41(-0,11%)",698.639.752,"15.562,75 tỷ",46.245.500,"1.236,53 tỷ",51.887.061,"1.541,87 tỷ"
04/08/2022,"1254,15","+4,39(+0,35%)",724.748.664,"17.006,79 tỷ",49.734.900,"1.419,14 tỷ",49.811.660,"1.360,35 tỷ"
03/08/2022,"1249,76","+8,14(+0,66%)",789.514.899,"17.567,77 tỷ",59.039.640,"1.629,70 tỷ",33.970.640,"976,71 tỷ"
02/08/2022,"1241,62","+10,27(+0,83%)",817.689.411,"16.886,48 tỷ",52.918.500,"1.422,68 tỷ",38.542.900,"1.048,45 tỷ"
01/08/2022,"1231,35","+25,02(+2,07%)",708.708.592,"16.195,62 tỷ",53.691.700,"1.481,18 tỷ",29.051.300,"820,77 tỷ"
29/07/2022,"1206,33","-1,79(-0,15%)",590.317.626,"15.034,55 tỷ",45.706.100,"1.544,83 tỷ",39.591.700,"1.578,87 tỷ"
28/07/2022,"1208,12","+17,08(+1,43%)",668.855.185,"15.346,94 tỷ",44.660.600,"1.443,07 tỷ",26.918.600,"767,46 tỷ"
27/07/2022,"1191,04","+5,97(+0,50%)",445.143.436,"10.023,84 tỷ",30.811.232,"1.250,52 tỷ",27.745.432,"631,61 tỷ"
26/07/2022,"1185,07","-3,43(-0,29%)",434.802.305,"9.446,83 tỷ",22.805.000,"585,90 tỷ",25.178.300,"531,42 tỷ"
25/07/2022,"1188,50","-6,26(-0,52%)",437.845.674,"9.928,10 tỷ",22.389.100,"807,31 tỷ",26.070.500,"650,65 tỷ"
22/07/2022,"1194,76","-3,71(-0,31%)",477.947.632,"10.868,98 tỷ",30.861.731,"1.061,39 tỷ",27.664.476,"684,88 tỷ"
21/07/2022,"1198,47","+4,33(+0,36%)",530.311.053,"12.119,33 tỷ",37.518.400,"1.143,92 tỷ",25.557.120,"756,24 tỷ"
20/07/2022,"1194,14","+15,81(+1,34%)",648.003.308,"14.167,66 tỷ",34.813.740,"996,45 tỷ",27.011.180,"802,10 tỷ"
19/07/2022,"1178,33","+1,84(+0,16%)",532.684.860,"11.262,03 tỷ",23.836.500,"732,23 tỷ",35.127.540,"1.023,00 tỷ"
18/07/2022,"1176,49","-2,76(-0,23%)",523.728.315,"11.233,75 tỷ",25.546.460,"713,72 tỷ",33.474.960,"830,47 tỷ"
15/07/2022,"1179,25","-2,92(-0,25%)",604.014.132,"13.116,39 tỷ",30.866.740,"746,13 tỷ",46.045.630,"1.240,64 tỷ"
14/07/2022,"1182,17","+8,25(+0,70%)",534.741.861,"10.967,88 tỷ",35.265.000,"773,33 tỷ",32.227.220,"625,41 tỷ"
13/07/2022,"1173,92","-0,90(-0,08%)",563.998.337,"11.545,48 tỷ",24.796.800,"554,61 tỷ",41.818.300,"1.112,34 tỷ"
12/07/2022,"1174,82","+19,53(+1,69%)",525.110.173,"10.662,92 tỷ",29.242.180,"696,97 tỷ",37.900.780,"979,82 tỷ"
11/07/2022,"1155,29","-16,02(-1,37%)",538.713.157,"11.445,14 tỷ",24.000.300,"700,91 tỷ",28.724.600,"694,95 tỷ"
08/07/2022,"1171,31","+4,83(+0,41%)",476.371.868,"10.423,99 tỷ",28.132.600,"840,12 tỷ",47.482.400,"1.239,96 tỷ"
07/07/2022,"1166,48","+16,87(+1,47%)",411.791.070,"9.061,63 tỷ",34.565.000,"1.117,65 tỷ",22.850.600,"626,63 tỷ"
06/07/2022,"1149,61","-31,68(-2,68%)",556.462.728,"12.568,86 tỷ",36.822.000,"1.181,78 tỷ",58.526.816,"1.930,69 tỷ"
05/07/2022,"1181,29","-14,24(-1,19%)",612.002.709,"13.806,65 tỷ",34.769.200,"961,97 tỷ",39.541.659,"1.230,25 tỷ"
04/07/2022,"1195,53","-3,37(-0,28%)",442.818.959,"10.086,82 tỷ",21.467.800,"762,12 tỷ",24.363.300,"891,46 tỷ"
01/07/2022,"1198,90","+1,30(+0,11%)",534.064.508,"11.418,77 tỷ",35.151.700,"1.034,09 tỷ",38.520.700,"1.235,58 tỷ"
30/06/2022,"1197,60","-20,49(-1,68%)",510.217.412,"11.326,71 tỷ",30.743.900,"981,07 tỷ",31.488.066,"974,70 tỷ"
